,artist,description,height,image,price,size,title,url_id,width,area,price_sqin,price_class
0,alexandra mas,"It is part of ""Préconçue"" art show, against preconceived ideas attached to women in the occidental society. The artist is presenting self-portraits (here photography presented in a wood doll like box and a text printed on plexi) ""We are the balance of our genes, our cultural heritage, our way in life, our dreams, and also a product of the way others see us. When flattered or insulted, often we adopt it and use it. These derogatory or rewarding views participate actively in our personal development. Complicated, weak, bewitching, wounded, or hilarious, I think of these views as ""another me"" perceived from another person's prism- fashioned by his culture, heritage, and experiences. We develop ourselves with each encounter, as intimate artworks on the border of incomprehension. When you add ignorance and intolerance to the way others see us, you get preconceived ideas. ""Préconçue"" -Preconceived- is a group of pictographic self-portraits with which I try to illustrate, in a militant way using the ridiculous and the kitsch, some labels society likes to associate with women and femininity. After several years of sociological research at every level, I managed to isolate 12 subjects for my artistic experiment, all experiencing these absurd and contradictory stereotypes."" tells us, Alexandra Mas, visual artist",47.24,http://ecx.images-amazon.com/images/I/519lYUvAxDL._QL70_.jpg,5100.0,"[u'47.24', u'31.5', u'3.94 in.']","For sale,",B015EOYYEE,31.5,1488.06,3.42728115802,4.0
1,joel degrand,"Uniforms, Outfits, & Accessories We think of the word ""uniform"" to mean the distinctive clothing worn by members of the same organization. However, in today's society the term is somewhat distilled and can be used interchangeably to denote outfits that are similar in nature, but not exactly the same, and not necessarily worn by members of an organization. The history of the uniform, goes back to the history of clothing and textiles. Textiles are defined as felt or spun fibers made into yarn that are netted, looped and knitted or woven into fabrics. They first appeared in the Middle East during the late Stone Age. From these ancient times to the present day, the production of textiles evolved and influenced how people clothed themselves. Uniforms, and outfits, are a decisive part of the human physical appearance and this appearance has a social significance in all parts of the world. Every society has a dress code that is well defined and understood by most members of that particular group. The dress code has specific rules, which in turn signal a message given by a person's clothing and the way it is worn. The message may indicate income, social class, religious affiliation, attitude, sexual orientation, marital status, or sexual availability. It may be seen in the clothes worn in the armed services, the paramilitary, the police, security guards, and the clergy. It can also be seen in shops, banks, post offices airports, bars, restaurants and hotels, sports teams, clubs, schools, and prisons. Sometimes corporations use uniforms to create a brand or corporate image. (The first service uniform registered in the U.S. Patent and Trademark office was the Playboy Bunny outfit.). Uniforms, and outfits in general, send social signals that usually indicate personal and cultural identity. The idea of dress code works on many levels and is defined in many ways. One examp...",90.0,http://ecx.images-amazon.com/images/I/51MCovXGdsL._QL70_.jpg,10000.0,"[u'90', u'72', u'0.5 in.']","Steve, Fireman, Beverly Shores, IN,",B00IRTE78C,72.0,6480.0,1.54320987654,4.0
2,leonard freed,"Fire Hydrant, Harlem, 1963, 20x16, Archival Iris Print, signed (recto) by the photographer Leonard Freed. Edition number: 22/100. Only 25 copies were printed of the planned edition of 100. Certificate of authenticity.",20.0,http://ecx.images-amazon.com/images/I/51hNjtVjR3L._QL70_.jpg,2000.0,"[u'20', u'16 in.']","Fire Hydrant,",B01EKBYJYW,16.0,320.0,6.25,3.0
3,leo mason,"Sporting history is made. This is the first time ever a remote camera rig, designed by legendary sports photographer Leo Mason, was attached to an F1 car. The image is of the late great Ayrton Senna turning the steering wheel in his Marlboro McLaren.",12.0,http://ecx.images-amazon.com/images/I/51SKAEkpPpL._QL70_.jpg,288.0,"[u'12', u'18 in.']","Ayrton Senna F1,",B016VGE62E,18.0,216.0,1.33333333333,0.0
4,daniela federici,,24.0,http://ecx.images-amazon.com/images/I/41q3a2kGY0L._QL70_.jpg,320.0,"[u'24', u'18 in.']","Nude in Water,",B016VGKAW4,18.0,432.0,0.740740740741,1.0
5,tom reed,An autumn storm breaks in Yosemite Valley.,20.0,http://ecx.images-amazon.com/images/I/51XnRDdslxL._QL70_.jpg,320.0,"[u'20', u'16', u'0.1 in.']","Half Dome in a Breaking Storm,",B00NNA11KC,16.0,320.0,1.0,1.0
6,katherine gendreau,"This photograph is a long exposure seascape of the Portland Head Light in Cape Elizabeth, Maine. The exposure time was 301 seconds.",16.0,http://ecx.images-amazon.com/images/I/51v1lna5boL._QL70_.jpg,175.0,"[u'16', u'24 in.']","Study in Grey,",B00EZHE1XG,24.0,384.0,0.455729166667,0.0
7,nicholas bell,"Title: Ethereal Lane No. 2 ~ Image size: 11 x 14 / print only / limited edition of 50 prints. Printed with a border for easy matting. This is a black and white archival pigment print made on Canson Baryta Photographique Paper, a museum quality paper with a satin finish. Comes signed, dated, and numbered on the back with COA. Ships flat and carefully packaged for safe delivery.",14.0,http://ecx.images-amazon.com/images/I/513kXaEZ9yL._QL70_.jpg,212.0,"[u'14', u'11 in.']","Ethereal Lane No. 2,",B00DPY164C,11.0,154.0,1.37662337662,0.0
8,michael filonow,Photograph of a Beta fish swimming on black,24.0,http://ecx.images-amazon.com/images/I/51UzUtS5U8L._QL70_.jpg,390.0,"[u'24', u'30', u'0.1 in.']","Beta 2,",B00YDMJVFG,30.0,720.0,0.541666666667,1.0
9,astro de sagun,,10.0,http://ecx.images-amazon.com/images/I/51RR92eUvBL._QL70_.jpg,49.0,"[u'10', u'15 in.']","Windsor,",B0172I4XTQ,15.0,150.0,0.326666666667,0.0
10,ansel adams,"Titled &quot;Winter Forest&quot; in an unknown hand together with studio stamp on mount verso. Printed ca 1965-70 An exceptionally beautiful print with an important provenance. A rare example of this image printed by Adams prior to the 1974 limited edition Portfolio VI. Between 1947 and the production of Portfolio VI, Adams made fewer than eight prints from this negative which included two screens and a mural sized print. It is estimated that only one or two prints of this size and quality were made.",10.75,http://ecx.images-amazon.com/images/I/61CCY23qgLL._QL70_.jpg,14250.0,"[u'10.75', u'12.75 in.']","Fresh Snow, Yosemite, CA,",B00QU6P5KI,12.75,137.0625,103.967168263,4.0
11,harry benson,"Signed, dated and 9 of 35 on recto.",24.0,http://ecx.images-amazon.com/images/I/51zMxr5Al8L._QL70_.jpg,7000.0,"[u'24', u'20 in.']","Michael Jackson on Throne,",B00E3IFJ56,20.0,480.0,14.5833333333,4.0
12,kevin o'connell,"Scutt Mansion has had many ghost sightings over the years. Their is a doll room filled with creepy dolls that is very haunted. The room was too full for me to take once of my painting with light pictures, so I grabbed this creepy santa, and put him in another room that has been documented to have a lot of paranormal activity.",20.0,http://ecx.images-amazon.com/images/I/51GVqbGMe7L._QL70_.jpg,961.0,"[u'20', u'24', u'1 in.']","Painting with Light - Haunted Mansion,",B00P7NW1AM,24.0,480.0,2.00208333333,2.0
13,michael verlangieri,"Old Surf Boards HUGE photographic art print by Michael Verlangieri. Limited to 25 prints, each print is hand signed and numbered. The image is printed ""Giclee"" on special imported photographic paper. The image size is 25.5x36 inches. The paper size is 28x38 inches. The image is printed using specially engineered ink technology for optimum image quality and over 100 years of lightfastness.",25.5,http://ecx.images-amazon.com/images/I/51%2B3CDCMvwL._QL70_.jpg,211.0,"[u'25.5', u'36 in.']","Old Surf Boards Hand Numbered Edition,",B00GRJ26O6,36.0,918.0,0.229847494553,0.0
14,ansel adams,Titled together with studio stamp on mount verso. Notation &quot;not for sale&quot; verso. An exceptional long tonal scale print which retains delicate highlights and rich blacks. Gift of the artist to his friend Al Weber and inscribed &quot;for Al Weber&quot; recto.,15.25,http://ecx.images-amazon.com/images/I/51NruPx-1IL._QL70_.jpg,35000.0,"[u'15.25', u'18.25 in.']","Mount Williamson from Manzanar, California,",B00QU6P32I,18.25,278.3125,125.757916012,4.0
15,arabella studios,"The cure for the common poster. Our high quality open edition digital art prints (giclées) are redefining what was traditionally the poster market. Available in pre-set standard sizes on paper or canvas, our Budget Editions (BED) collection is aggressively priced to meet your budget needs and offers the fresh, sophisticated imagery that is distinctively Grand Image. Please note, all prints are on loose paper, unmounted, and have an additional 1 inch trim border.",20.0,http://ecx.images-amazon.com/images/I/51mUS80BRNL._QL70_.jpg,55.0,"[u'20', u'18in.']",Posted Beach 1 (paper),B0147NW2Q0,18.0,360.0,0.152777777778,0.0
16,lorenzo laiken,"Stand and deliver. Specs: CAPTION IS PART OF PRINTED PIECE Signed and Numbered. Edition limited to 100. Printed on acid-free archival paper. Ship all pieces rolled in heavy-duty shipping tube, insured.",11.0,http://ecx.images-amazon.com/images/I/51sP%2BtcingL._QL70_.jpg,140.0,"[u'11', u'14', u'0.1 in.']","Porcelain Service for Ten,",B00DPY1ZG6,14.0,154.0,0.909090909091,0.0
17,alain rivière-lecoeur,"Part of Alain Rivière-Lecoeur's Flesh of the Earth (Chairs de Terre) body of work. Interlaced, naked, arising out of a primal glaze, they seem to have been captured at the moment where their Creator, according to Genesis, decides to breathe life into them. Their eyelids are still shut, their poses unstudied. A moment suspended in time when these beings emerge from their primeval matter, before separation when their destinies overtake them with a promise of beauty and eternity arising from this original impulse. Interacting in a remarkable choreography with the romantic grace of a Gericault mixed with a powerful lyricism, they remind us of Rodin. The photographs are printed on high quality Hahnemühle Photo Rag Ultra Smooth 305g and mounted on Dibond (aluminum composite), which is a good alternative to aluminum. Weighing less than half that of aluminum this material is composed of a dark plastic core with a thin layer of aluminum coated on each side. This archival mounting solution is perfect for large pieces and a perfect alternative for archival framing and large print mounting. They are framed with a dark brown wood Float frame without glass (called ""Caisse Americaine"" or ""American Casing"").",25.5,http://ecx.images-amazon.com/images/I/51GzWZkyTSL._QL70_.jpg,4300.0,"[u'25.5', u'1.5', u'25.5 in.']","Botero,",B015HRBLYO,25.5,650.25,6.61284121492,3.0
18,raphael sloane,"Lion's Mane, Mushroom, Large Format, Digital",22.0,http://ecx.images-amazon.com/images/I/41uMuBWGPEL._QL70_.jpg,450.0,"[u'22', u'17', u'1 in.']","Lion's Mane 1,",B018DTNKI8,17.0,374.0,1.20320855615,1.0
19,will mcbride,"Signed, titled and dated on verso.",20.0,http://ecx.images-amazon.com/images/I/51RE9TEG-ZL._QL70_.jpg,4500.0,"[u'20', u'24 in.']","Boys Wrestling at Jane's Place, Berlin,",B00E3HYDD6,24.0,480.0,9.375,3.0
20,renato d'agostin,"Signed, titled, dated and 5 of 25 on verso.",16.0,http://ecx.images-amazon.com/images/I/513PbL3wjBL._QL70_.jpg,2500.0,"[u'16', u'12 in.']","Venice (Boats),",B00E3I0SQQ,12.0,192.0,13.0208333333,3.0
21,tom chambers,"Renaissance artists affirmed the transformational nature of light in their classical paintings. Taddeo Gaddi and Giotto di Bondone of the Renaissance period painted breathtaking frescoes in which light created dramatic effects. Artists, such as these masters, inspired me to create photomontages that highlight the aesthetic power of light.",14.0,http://ecx.images-amazon.com/images/I/51XETTRBBzL._QL70_.jpg,750.0,"[u'14', u'14 in']","Pieta,",B00DY8QTFU,14.0,196.0,3.82653061224,2.0
22,duane monczewski,,15.0,http://ecx.images-amazon.com/images/I/61qjjwbGHfL._QL70_.jpg,750.0,"[u'15', u'15', u'0.1 in.']","Barbacoa, Acapulco, 1989,",B00E7GYUJ0,15.0,225.0,3.33333333333,2.0
23,joel degrand,Pacific Rim Photographs taken using a 180 degree fish-eye lens to create circle images.,17.0,http://ecx.images-amazon.com/images/I/51isGVAX08L._QL70_.jpg,1500.0,"[u'17', u'22', u'0.3 in.']","Buddhist Monk, Bangkok,",B00J3EL2J2,22.0,374.0,4.01069518717,2.0
24,william wegman,Digital pigment print on Somerset Velvet Enhanced paper,40.0,http://ecx.images-amazon.com/images/I/51Y3XlI2l8L._QL70_.jpg,4000.0,"[u'40', u'33.75 in.']","Rousseau,",B00F0WF91I,33.75,1350.0,2.96296296296,3.0
25,joel degrand,"Pittsburgh: A Look Back - Photographs from the 1980's I came back to live in Pittsburgh in 1975. I could see the city was changing and evolving into what would ultimately be called a ""Renaissance"", and I wanted to make a photographic document of this change. In 1980 I received a National Endowment for the Arts grant to photograph this evolutionary process, so I picked up my 8x10 Deardorff camera and started the ""Pittsburgh Project"". This photograph is part of that project. Joel DeGrand © 2009",36.0,http://ecx.images-amazon.com/images/I/51vN3Pd129L._QL70_.jpg,5500.0,"[u'36', u'44', u'0.3 in.']","West End Garage, Pittsburgh, PA,",B00IRTD8X2,44.0,1584.0,3.47222222222,4.0
26,pietro canali,"Silver Halide Fuji Flex Crystal Archive paper printed with LightJet Oce 430, face mounted with 1/8"" UV Tru-VU Clear Conservation Grade Acrylic and backed with 3mm Aluminium Dibond. Ready to hang with an Aluminium Black Profile Inset Frame. The series Frutta & Fiori focus on a intimate side of nature by capturing the quiet symmetry of its fruit and flowers. The plain background is reminiscent of the backdrops in passport pictures, likening these images to portraits. As we would with a face, I wanted to admire the unique micro and macro elements that make these subjects what they are: the myriad shades of pink in the grapefruit's flesh, the veins in an orchid petal, the tiny patterns that, when multiplied and repeated, become the whole. In their resting state, most fruits are sealed spheres, showing only their peel. I sliced each fruit and examined its cross section through the camera's lens to get to its core, to expose and admire its essence",25.0,http://ecx.images-amazon.com/images/I/41wKgzRP1nL._QL70_.jpg,1300.0,"[u'25', u'25', u'1 in.']","Lemon,",B00W4TU1ZY,25.0,625.0,2.08,2.0
27,enna deer,"The Lost Knight series: Clearly something is amiss as a chess knight finds himself on the wrong game board. The knight, who on his own board, is noble, agile, clever and influential because of his ability to move other than in a straight line, appears not only lost, but perceptibly out of place. His plight is a visual metaphor for experiencing being in an ""uncomfortable"" situation or simply in unfamiliar territory. Although still maintaining gallantry, the knight nevertheless appears ill-at-ease and confused. What tempted the knight to leave the safety of his own board? The parallels in our own lives seem obvious.",20.0,http://ecx.images-amazon.com/images/I/41dbeFUgUWL._QL70_.jpg,1250.0,"[u'20', u'30 in.']","Lost Knight on Battleship,",B00E5MWKES,30.0,600.0,2.08333333333,2.0
